入門（にゅうもん）
トピック 3 たべもの
248 地方 ちほう 3
249 有名 ゆうめい 3
250 生 なま 3
251 冷たい つめたい 3
252 ご飯 ごはん 4
253 塩 しお 4
254 全部 ぜんぶ 4
255 ～方 ～かた 4
256 食べ方 たべかた 4
257 熱い あつい 4
258 苦手 にがて 4
259 入れます いれます 4
トピック 3 沖縄旅行
260 木 き 5
261 森 もり 5
262 島 しま 5
263 自然 しぜん 5
264 船 ふね 5
265 暑い あつい 5
266 帰ります かえります 5
267 予約します よやくします 5
268 運転します うんてんします 5
269 ～中 ～ちゅう 5
270 旅行中 りょこうちゅう 5
271 観光地 かんこうち 6
272 女性 じょせい 6
273 男性 だんせい 6
274 動物 どうぶつ 6
275 空気 くうき 6
276 料金 りょうきん 6
277 無料 むりょう 6
278 明るい あかるい 6
279 便利 べんり 6
280 ～中 ～じゅう 6
281 一年中 いちねんじゅう 6
トピック 4 日本祭
282 受付 うけつけ 7
283 広場 ひろば 7
284 問題 もんだい 7
285 同じ おなじ 7
286 集まります あつまります 7
287 始まります はじまります 7
288 終わります おわります 7
289 中止します ちゅうしします 7
290 教えます おしえます 7
291 祭り まつり 8
292 日本祭 にほんまつり 8
293 会場 かいじょう 8
294 入場料 にゅうじょうりょう 8
295 参加者 さんかしゃ 8
296 急ぎます いそぎます 8
297 決めます きめます 8
298 知ります しります 8
トピック 5 特別な日
299 正月 しょうがつ 9
300 年末 ねんまつ 9
301 年始 ねんし 9
302 親 おや 9
303 忙しい いそがしい 9
304 特別 とくべつ 9
305 帰国 きこく 9
306 喜びます よろこびます 9
307 幸せ しあわせ 10
308 成長 せいちょう 10
309 長生き ながいき 10
310 願い事 ねがいごと 10
311 合格 ごうかく 10
312 試験 しけん 10
313 大人 おとな 10
314 ～式（成人式） ～しき（せいじんしき） 10
315 ～市（さいたま市） ～し 10
トピック 6 ネットショッピング
316 商品 しょうひん 11
317 電気製品 でんきせいひん 11
318 電子レンジ でんしレンジ 11
319 ～機（そうじ機） ～き 11
320 店員 てんいん 11
321 調子 ちょうし 11
322 悪い わるい 11
323 動きます うごきます 11
324 考えます かんがえます 11
325 音 おと 11
326 出ます でます 11
327 機能 きのう 12
328 省エネ しょうエネ 12
329 日本製 にほんせい 12
330 重い おもい 12
331 軽い かるい 12
332 静か しずか 12
333 早く はやく 12
334 方（こっちの方） ほう 12
